;Kundennummer;Gerätetyp
495;53274;DeviceGen3
496;3571;DeviceGen2
497;94152;DeviceGen3
498;30918;DeviceGen3
499;43771;DeviceGen3
500;28597;DeviceGen4
501;53150;DeviceGen3
502;41191;DeviceGen3
503;48670;DeviceGen3
504;25920;DeviceGen2
505;5395;DeviceGen3
506;93761;DeviceGen3
507;31646;DeviceGen2
508;43816;DeviceGen3
509;7614;DeviceGen4
510;80117;DeviceGen2
511;53364;DeviceGen2
512;57647;DeviceGen3
513;72366;DeviceGen2
514;12421;DeviceGen3
515;95044;DeviceGen3
516;18260;DeviceGen2
517;2782;DeviceGen3
518;33325;DeviceGen3
519;97740;DeviceGen3
520;83665;DeviceGen2
521;4499;DeviceGen3
522;87798;DeviceGen3
523;32937;DeviceGen2
524;93266;DeviceGen2
525;81642;DeviceGen2
526;68909;DeviceGen3
527;13337;DeviceGen3
528;25706;DeviceGen3
529;96394;DeviceGen3
530;44162;DeviceGen2
531;81029;DeviceGen2
532;24533;DeviceGen3
533;36840;DeviceGen2
534;28498;DeviceGen3
535;13756;DeviceGen3
536;66668;DeviceGen3
537;21086;DeviceGen3
538;74369;DeviceGen2
539;14915;DeviceGen3
540;37685;DeviceGen4
541;48414;DeviceGen3
542;13169;DeviceGen2
543;54183;DeviceGen2
544;40568;DeviceGen3
545;51799;DeviceGen2
546;44677;DeviceGen4
547;38103;DeviceGen3
548;12815;DeviceGen3
549;8729;DeviceGen3
550;69929;DeviceGen2
551;80452;DeviceGen2
552;85524;DeviceGen3
553;72790;DeviceGen3
554;8980;DeviceGen3
555;69872;DeviceGen3
556;10474;DeviceGen3
557;50025;DeviceGen2
558;23374;DeviceGen3
559;66894;DeviceGen2
560;75793;DeviceGen3
561;21396;DeviceGen2
562;14917;DeviceGen3
563;43031;DeviceGen2
564;41936;DeviceGen2
565;81277;DeviceGen2
566;1517;DeviceGen3
567;45321;DeviceGen3
568;28317;DeviceGen2
569;86806;DeviceGen3
570;46856;DeviceGen3
571;75092;DeviceGen3
572;55909;DeviceGen2
573;90162;DeviceGen2
574;3123;DeviceGen2
575;11000;DeviceGen2
576;39718;DeviceGen2
577;46144;DeviceGen3
578;51857;DeviceGen3
579;39620;DeviceGen3
580;94625;DeviceGen3
581;18377;DeviceGen3
582;45250;DeviceGen2
583;98198;DeviceGen4
584;65459;DeviceGen2
585;72534;DeviceGen3
586;80494;DeviceGen3
587;62533;DeviceGen3
588;78793;DeviceGen3
589;31867;DeviceGen3
590;84240;DeviceGen3
591;45743;DeviceGen3
592;79284;DeviceGen2
593;39555;DeviceGen3
594;71187;DeviceGen3
595;44867;DeviceGen3
596;65803;DeviceGen3
597;99120;DeviceGen3
598;39633;DeviceGen2
599;63183;DeviceGen3
600;29612;DeviceGen3
601;96931;DeviceGen3
602;44962;DeviceGen3
603;50484;DeviceGen4
604;26703;DeviceGen3
605;30573;DeviceGen3
606;19798;DeviceGen3
607;97416;DeviceGen4
608;20227;DeviceGen2
609;75557;DeviceGen3
610;29421;DeviceGen3
611;81431;DeviceGen3
612;19868;DeviceGen3
613;19862;DeviceGen2
614;11933;DeviceGen3
615;17245;DeviceGen3
616;85071;DeviceGen3
617;68464;DeviceGen3
618;60455;DeviceGen3
619;5559;DeviceGen4
620;23510;DeviceGen2
621;45356;DeviceGen2
622;89220;DeviceGen2
623;43076;DeviceGen3
624;68439;DeviceGen3
625;29873;DeviceGen3
626;27336;DeviceGen3
627;5552;DeviceGen2
628;37378;DeviceGen3
629;12225;DeviceGen3
630;71237;DeviceGen3
631;67976;DeviceGen3
632;89898;DeviceGen3
633;61435;DeviceGen2
634;60079;DeviceGen2
635;85601;DeviceGen2
636;73533;DeviceGen2
637;43819;DeviceGen2
638;52208;DeviceGen3
639;24232;DeviceGen3
640;81268;DeviceGen2
641;33262;DeviceGen3
642;59694;DeviceGen2
643;13444;DeviceGen2
644;21042;DeviceGen2
645;1095;DeviceGen3
646;35775;DeviceGen3
647;82119;DeviceGen3
648;25880;DeviceGen3
649;5743;DeviceGen2
650;88023;DeviceGen2
651;67386;DeviceGen2
652;34961;DeviceGen2
653;5989;DeviceGen2
654;64757;DeviceGen3
655;73559;DeviceGen2
656;79843;DeviceGen3
657;99367;DeviceGen2
658;2953;DeviceGen3
659;31066;DeviceGen3
660;8302;DeviceGen3
661;60519;DeviceGen3
662;71746;DeviceGen3
663;57857;DeviceGen3
664;1763;DeviceGen3
665;70266;DeviceGen4
666;85986;DeviceGen2
667;42632;DeviceGen2
668;36972;DeviceGen3
669;30980;DeviceGen2
670;54438;DeviceGen2
671;83092;DeviceGen3
672;36808;DeviceGen2
673;29072;DeviceGen2
674;51645;DeviceGen3
675;63094;DeviceGen3
676;34957;DeviceGen2
677;52064;DeviceGen2
678;7307;DeviceGen3
679;90481;DeviceGen4
680;62596;DeviceGen3
681;98249;DeviceGen2
682;9670;DeviceGen3
683;72098;DeviceGen3
684;93892;DeviceGen3
685;92935;DeviceGen3
686;94528;DeviceGen3
687;45874;DeviceGen3
688;97002;DeviceGen3
689;88783;DeviceGen3
690;29170;DeviceGen2
691;8996;DeviceGen3
692;97116;DeviceGen2
693;98061;DeviceGen4
694;59512;DeviceGen3
695;22085;DeviceGen4
696;67462;DeviceGen4
697;55913;DeviceGen3
698;95395;DeviceGen3
699;19324;DeviceGen2
700;89481;DeviceGen3
701;33761;DeviceGen2
702;50742;DeviceGen2
703;50251;DeviceGen4
704;83778;DeviceGen2
705;23837;DeviceGen2
706;56238;DeviceGen2
707;30071;DeviceGen3
708;19514;DeviceGen3
709;95943;DeviceGen3
710;90671;DeviceGen2
711;78365;DeviceGen3
712;89146;DeviceGen2
713;2129;DeviceGen2
714;93776;DeviceGen2
715;6816;DeviceGen3
716;65255;DeviceGen3
717;67958;DeviceGen3
718;21469;DeviceGen2
719;76210;DeviceGen3
720;13782;DeviceGen3
721;70403;DeviceGen4
722;98258;DeviceGen2
723;76625;DeviceGen2
724;41279;DeviceGen3
725;16773;DeviceGen3
726;33070;DeviceGen3
727;22629;DeviceGen2
728;26858;DeviceGen3
729;16736;DeviceGen3
730;69428;DeviceGen2
731;17403;DeviceGen2
732;74506;DeviceGen2
733;28314;DeviceGen3
734;40557;DeviceGen2
735;62509;DeviceGen2
736;81973;DeviceGen2
737;76931;DeviceGen2
738;48364;DeviceGen2
739;40218;DeviceGen3
740;1448;DeviceGen3
741;9379;DeviceGen4
742;84159;DeviceGen3
743;12927;DeviceGen3
744;4442;DeviceGen3
745;86690;DeviceGen3
746;80948;DeviceGen2
747;17465;DeviceGen3
748;23701;DeviceGen3
749;69305;DeviceGen2
750;42072;DeviceGen2
751;12941;DeviceGen2
752;61793;DeviceGen3
753;99968;DeviceGen3
754;72144;DeviceGen2
755;57461;DeviceGen2
756;8410;DeviceGen3
757;70075;DeviceGen3
758;27989;DeviceGen3
759;43518;DeviceGen3
760;19189;DeviceGen3
761;26732;DeviceGen2
762;88630;DeviceGen2
763;16693;DeviceGen3
764;87433;DeviceGen2
765;5021;DeviceGen3
766;11568;DeviceGen3
767;93341;DeviceGen3
768;51230;DeviceGen3
769;60044;DeviceGen3
770;41894;DeviceGen2
771;21045;DeviceGen3
772;21507;DeviceGen3
773;49153;DeviceGen3
774;80717;DeviceGen3
775;59231;DeviceGen3
776;46361;DeviceGen2
777;13399;DeviceGen3
778;93195;DeviceGen3
779;35407;DeviceGen3
780;78422;DeviceGen3
781;38279;DeviceGen3
782;31269;DeviceGen2
783;31696;DeviceGen3
784;50674;DeviceGen2
785;94222;DeviceGen3
786;1367;DeviceGen4
787;3645;DeviceGen2
788;20157;DeviceGen3
789;76906;DeviceGen3
790;24801;DeviceGen3
791;38267;DeviceGen3
792;11943;DeviceGen3
793;57536;DeviceGen2
794;50181;DeviceGen3
795;19182;DeviceGen3
796;84588;DeviceGen2
797;19477;DeviceGen3
798;81943;DeviceGen2
799;80180;DeviceGen2
800;86292;DeviceGen3
801;3190;DeviceGen3
802;93457;DeviceGen3
803;8398;DeviceGen2
804;78432;DeviceGen2
805;26017;DeviceGen2
806;85591;DeviceGen2
807;84328;DeviceGen3
808;63836;DeviceGen2
809;25145;DeviceGen3
810;59153;DeviceGen2
811;46148;DeviceGen3
812;71354;DeviceGen3
813;29249;DeviceGen3
814;70878;DeviceGen3
815;13464;DeviceGen3
816;89906;DeviceGen3
817;60264;DeviceGen4
818;64051;DeviceGen3
819;67351;DeviceGen2
820;84571;DeviceGen3
821;10582;DeviceGen2
822;17703;DeviceGen3
823;67186;DeviceGen3
824;9655;DeviceGen3
825;43638;DeviceGen2
826;66255;DeviceGen3
827;72134;DeviceGen2
828;22680;DeviceGen2
829;40930;DeviceGen2
830;8583;DeviceGen2
831;44097;DeviceGen3
832;10201;DeviceGen3
833;23548;DeviceGen3
834;25905;DeviceGen4
835;78148;DeviceGen2
836;60184;DeviceGen3
837;42673;DeviceGen3
838;75266;DeviceGen2
839;98953;DeviceGen3
840;11543;DeviceGen2
841;91843;DeviceGen3
842;11755;DeviceGen2
843;71923;DeviceGen3
844;72273;DeviceGen2
845;92597;DeviceGen2
846;88703;DeviceGen2
847;20617;DeviceGen3
848;38661;DeviceGen2
849;43581;DeviceGen3
850;70087;DeviceGen3
851;88487;DeviceGen4
852;27168;DeviceGen2
853;56168;DeviceGen2
854;56782;DeviceGen2
855;42523;DeviceGen3
856;15734;DeviceGen2
857;45337;DeviceGen3
858;69351;DeviceGen3
859;20104;DeviceGen3
860;89314;DeviceGen3
861;98576;DeviceGen2
862;46055;DeviceGen2
863;93364;DeviceGen2
864;68154;DeviceGen2
865;26222;DeviceGen4
866;27222;DeviceGen3
867;38249;DeviceGen3
868;47160;DeviceGen3
869;43296;DeviceGen3
870;26598;DeviceGen4
871;98870;DeviceGen3
872;43540;DeviceGen3
873;78728;DeviceGen2
874;91528;DeviceGen3
875;19516;DeviceGen3
876;10811;DeviceGen3
877;72772;DeviceGen3
878;99770;DeviceGen2
879;90147;DeviceGen2
880;16214;DeviceGen3
881;81602;DeviceGen3
882;13085;DeviceGen4
883;4656;DeviceGen2
884;64285;DeviceGen3
885;82553;DeviceGen2
886;90064;DeviceGen2
887;61156;DeviceGen2
888;73483;DeviceGen3
889;93050;DeviceGen2
890;63121;DeviceGen3
891;45397;DeviceGen3
892;77274;DeviceGen2
893;74784;DeviceGen3
894;36925;DeviceGen3
895;32315;DeviceGen2
896;9530;DeviceGen2
897;48196;DeviceGen3
898;87099;DeviceGen3
899;57376;DeviceGen2
900;60305;DeviceGen2
901;40193;DeviceGen2
902;69589;DeviceGen4
903;46658;DeviceGen3
904;13304;DeviceGen3
905;59546;DeviceGen2
906;95780;DeviceGen3
907;57683;DeviceGen3
908;63230;DeviceGen4
909;92303;DeviceGen3
910;38196;DeviceGen2
911;57270;DeviceGen3
912;45706;DeviceGen2
913;28672;DeviceGen2
914;76823;DeviceGen3
915;65567;DeviceGen2
916;40887;DeviceGen3
917;28917;DeviceGen2
918;27912;DeviceGen2
919;25890;DeviceGen2
920;19242;DeviceGen3
921;45682;DeviceGen3
922;82142;DeviceGen3
923;10245;DeviceGen2
924;36762;DeviceGen3
925;38186;DeviceGen3
926;42653;DeviceGen2
927;74753;DeviceGen2
928;63478;DeviceGen3
929;89156;DeviceGen3
930;90172;DeviceGen3
931;73555;DeviceGen3
932;52558;DeviceGen3
933;34439;DeviceGen2
934;50951;DeviceGen2
935;46134;DeviceGen2
936;47519;DeviceGen2
937;29863;DeviceGen2
938;98108;DeviceGen4
939;80487;DeviceGen3
940;4773;DeviceGen2
941;91529;DeviceGen2
942;22785;DeviceGen3
943;19545;DeviceGen3
944;46062;DeviceGen3
945;91474;DeviceGen2
946;8328;DeviceGen2
947;27672;DeviceGen3
948;65367;DeviceGen3
949;96720;DeviceGen2
950;71577;DeviceGen3
951;65215;DeviceGen2
952;27855;DeviceGen3
953;54416;DeviceGen2
954;84317;DeviceGen3
955;30168;DeviceGen3
956;59543;DeviceGen3
957;79964;DeviceGen3
958;44602;DeviceGen3
959;87816;DeviceGen3
960;83430;DeviceGen3
961;27807;DeviceGen2
962;72986;DeviceGen3
963;80633;DeviceGen3
964;84978;DeviceGen3
965;91856;DeviceGen2
966;27510;DeviceGen2
967;65608;DeviceGen2
968;41212;DeviceGen2
969;67424;DeviceGen3
970;37853;DeviceGen3
971;32807;DeviceGen3
972;61803;DeviceGen3
973;49494;DeviceGen2
974;7067;DeviceGen2
975;81684;DeviceGen4
976;58890;DeviceGen3
977;15098;DeviceGen2
978;63090;DeviceGen2
979;78018;DeviceGen2
980;54184;DeviceGen4
981;9911;DeviceGen3
982;22588;DeviceGen3
983;7119;DeviceGen2
984;21797;DeviceGen3
985;74194;DeviceGen2
986;9681;DeviceGen3
987;74237;DeviceGen3
988;49313;DeviceGen2
989;6960;DeviceGen3
990;98973;DeviceGen3
991;43038;DeviceGen4
992;53113;DeviceGen3
993;41157;DeviceGen3
994;66744;DeviceGen3
995;36093;DeviceGen3
996;54727;DeviceGen2
997;64173;DeviceGen2
998;61734;DeviceGen3
999;96373;DeviceGen2
1000;82855;DeviceGen3
1001;67071;DeviceGen2
1002;55733;DeviceGen3
1003;99892;DeviceGen4
1004;25201;DeviceGen2
1005;21692;DeviceGen2
1006;63510;DeviceGen3
1007;90972;DeviceGen3
1008;88445;DeviceGen2
1009;88517;DeviceGen3
1010;22006;DeviceGen4
1011;53745;DeviceGen3
1012;89994;DeviceGen3
1013;59962;DeviceGen3
1014;98958;DeviceGen3
1015;32169;DeviceGen2
1016;50300;DeviceGen2
1017;38561;DeviceGen3
1018;74713;DeviceGen3
1019;75241;DeviceGen3
1020;49361;DeviceGen2
1021;35204;DeviceGen3
1022;38415;DeviceGen3
1023;4059;DeviceGen3
1024;41945;DeviceGen3
1025;19292;DeviceGen3
1026;52772;DeviceGen2
1027;20414;DeviceGen3
1028;48059;DeviceGen3
1029;1297;DeviceGen2
1030;46811;DeviceGen2
1031;99645;DeviceGen3
1032;22681;DeviceGen3
1033;55135;DeviceGen3
1034;60620;DeviceGen2
1035;49124;DeviceGen3
1036;56494;DeviceGen2
1037;30034;DeviceGen3
1038;48310;DeviceGen3
1039;80188;DeviceGen2
1040;87592;DeviceGen3
1041;43613;DeviceGen3
1042;39220;DeviceGen2
1043;91043;DeviceGen3
1044;44510;DeviceGen3
1045;73359;DeviceGen4
1046;85421;DeviceGen4
1047;8883;DeviceGen3
1048;92230;DeviceGen2
1049;82891;DeviceGen2
1050;8014;DeviceGen4
1051;80350;DeviceGen2
1052;27246;DeviceGen3
1053;69265;DeviceGen2
1054;27745;DeviceGen3
1055;30566;DeviceGen2
1056;70334;DeviceGen3
1057;89111;DeviceGen3
1058;63120;DeviceGen2
1059;23456;DeviceGen3
1060;1610;DeviceGen3
1061;76350;DeviceGen2
1062;77416;DeviceGen3
1063;77552;DeviceGen4
1064;23485;DeviceGen2
1065;56103;DeviceGen3
1066;3108;DeviceGen3
1067;33555;DeviceGen2
1068;40695;DeviceGen2
